"scenario","time","treated","reference_synthetic","package_free_synthetic","reference_gap","package_free_gap","absolute_path_difference","post"
"Toy mechanics",1984,126.300003051758,131.95655079721,131.956549594798,-5.65654774545219,-5.65654654304031,1.20241188028558e-06,FALSE
"Toy mechanics",1985,128.800003051758,129.904036193327,129.90403550909,-1.10403314156861,-1.1040324573315,6.84237107861918e-07,FALSE
"Toy mechanics",1986,129,130.382392638778,130.382392118542,-1.3823926387785,-1.38239211854244,5.20236056900103e-07,FALSE
"Toy mechanics",1987,129.300003051758,122.667630138975,122.667630411493,6.63237291278267,6.6323726402652,2.72517468147271e-07,FALSE
"Toy mechanics",1988,124.099998474121,128.980493621135,128.980493102158,-4.88049514701355,-4.88049462803734,5.18976207786181e-07,FALSE
"Toy mechanics",1989,117.099998474121,119.969959319027,119.969959144229,-2.86996084490607,-2.86996067010847,1.74797605723143e-07,FALSE
"Toy mechanics",1990,113.800003051758,108.466790183003,108.46679017503,5.33321286875511,5.33321287672793,7.97281529685279e-09,FALSE
"Toy mechanics",1991,115,110.063086076223,110.063085993121,4.93691392377669,4.93691400687938,8.31026909509092e-08,TRUE
"Toy mechanics",1992,121.9,107.483355917779,107.483356111199,14.4166440822215,14.4166438888008,1.93420717664594e-07,TRUE
"Toy mechanics",1993,125.5,105.042257759632,105.04225795923,20.4577422403677,20.4577420407705,1.99597252503736e-07,TRUE
"Toy mechanics",1994,127,104.256722267596,104.256722205586,22.7432777324044,22.7432777944138,6.20093487668782e-08,TRUE
"Toy mechanics",1995,132,104.972289523556,104.972289937641,27.0277104764439,27.0277100623595,4.1408442541524e-07,TRUE
"Toy mechanics",1996,133.5,103.068533350046,103.068533132404,30.4314666499537,30.4314668675964,2.17642693201014e-07,TRUE
"Proposition 99",1970,123,118.312710674627,118.315035985549,4.68728932537347,4.68496401445103,0.00232531092244415,FALSE
"Proposition 99",1971,121,118.416114250974,118.418639835213,2.58388574902555,2.58136016478674,0.00252558423881055,FALSE
"Proposition 99",1972,123.5,122.28629204949,122.288678977788,1.21370795051001,1.21132102221169,0.00238692829832132,FALSE
"Proposition 99",1973,124.400001525879,124.179395164439,124.181973858693,0.220606361439621,0.218027667185424,0.00257869425419699,FALSE
"Proposition 99",1974,126.699996948242,122.820065965645,122.822741879743,3.87993098259686,3.8772550684989,0.00267591409796353,FALSE
"Proposition 99",1975,127.099998474121,121.314711045768,121.316984932102,5.78528742835333,5.78301354201867,0.00227388633466319,FALSE
"Proposition 99",1976,128,124.006445966714,124.008594480027,3.99355403328612,3.99140551997255,0.00214851331357124,FALSE
"Proposition 99",1977,126.400001525879,123.337409687754,123.338835406874,3.06259183812504,3.06116611900488,0.00142571912016365,FALSE
"Proposition 99",1978,126.099998474121,121.913389109002,121.914762860262,4.18660936511928,4.18523561385891,0.00137375126037398,FALSE
"Proposition 99",1979,121.900001525879,122.874028334146,122.875213553874,-0.974026808266657,-0.975212027994687,0.0011852197280291,FALSE
"Proposition 99",1980,120.199996948242,121.869776865278,121.870144346733,-1.66977991703581,-1.67014739849034,0.000367481454532026,FALSE
"Proposition 99",1981,118.599998474121,123.066903082312,123.066843191166,-4.46690460819106,-4.46684471704535,5.98911457103668e-05,FALSE
"Proposition 99",1982,115.400001525879,119.917253888986,119.917227444845,-4.51725236310719,-4.51722591896652,2.64441406727656e-05,FALSE
"Proposition 99",1983,110.800003051758,115.991753260544,115.992268028189,-5.1917502087865,-5.19226497643116,0.000514767644659742,FALSE
"Proposition 99",1984,104.800003051758,111.017747878785,111.017111400586,-6.2177448270272,-6.21710834882845,0.000636478198757118,FALSE
"Proposition 99",1985,102.800003051758,107.204930688253,107.204598938191,-4.404927636495,-4.40459588643326,0.000331750061747016,FALSE
"Proposition 99",1986,99.6999969482422,104.681941959907,104.681310590971,-4.98194501166465,-4.98131364272879,0.000631368935856358,FALSE
"Proposition 99",1987,97.5,101.483937160851,101.484004842627,-3.98393716085084,-3.98400484262686,6.76817760165704e-05,FALSE
"Proposition 99",1988,90.0999984741211,94.0451456069126,94.0442527745381,-3.94514713279149,-3.94425430041703,0.00089283237446125,FALSE
"Proposition 99",1989,82.4000015258789,89.8735394983628,89.8728834397179,-7.47353797248385,-7.47288191383896,0.00065605864489271,TRUE
"Proposition 99",1990,77.8000030517578,86.1495444460272,86.1492762894069,-8.34954139426937,-8.3492732376491,0.000268156620265358,TRUE
"Proposition 99",1991,68.6999969482422,85.3073031875139,85.3055558442379,-16.6073062392717,-16.6055588959957,0.00174734327603687,TRUE
"Proposition 99",1992,67.5,83.36573316986,83.3635327059913,-15.86573316986,-15.8635327059913,0.00220046386874628,TRUE
"Proposition 99",1993,63.4000015258789,82.4315393009432,82.4300046947915,-19.0315377750643,-19.0300031689126,0.00153460615175049,TRUE
"Proposition 99",1994,58.5999984741211,81.8340808888235,81.8322322765811,-23.2340824147024,-23.23223380246,0.00184861224241217,TRUE
"Proposition 99",1995,56.4000015258789,79.794379285962,79.7918289832831,-23.3943777600831,-23.3918274574042,0.00255030267896927,TRUE
"Proposition 99",1996,54.5,77.8611866398585,77.8588350754173,-23.3611866398585,-23.3588350754173,0.0023515644412555,TRUE
"Proposition 99",1997,53.7999992370605,77.1176359038383,77.1155447638152,-23.3176366667777,-23.3155455267546,0.0020911400231256,TRUE
"Proposition 99",1998,52.2999992370605,75.202904629515,75.2002896124464,-22.9029053924545,-22.9002903753858,0.00261501706862077,TRUE
"Proposition 99",1999,47.2000007629395,74.0808418798249,74.0790942778485,-26.8808411168855,-26.8790935149091,0.00174760197640467,TRUE
"Proposition 99",2000,41.5999984741211,68.984613595602,68.98273240597,-27.3846151214809,-27.3827339318489,0.00188118963198747,TRUE
